Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,84.260002,84.739998,83.709999,84.260002,84.260002,1607600.0
2015-07-02,84.489998,84.779999,83.900002,84.589996,84.589996,1051600.0
2015-07-06,83.989998,85.0,83.709999,84.58000200000001,84.58000200000001,888600.0
2015-07-07,84.800003,84.949997,83.309998,84.940002,84.940002,1398700.0
2015-07-08,84.370003,85.129997,83.870003,84.389999,84.389999,1733100.0
2015-07-09,85.389999,85.800003,84.480003,84.489998,84.489998,1920000.0
2015-07-10,85.449997,86.400002,84.769997,86.239998,86.239998,1684200.0
2015-07-13,87.160004,89.459999,87.089996,89.349998,89.349998,2721800.0
2015-07-14,89.279999,89.300003,88.269997,88.800003,88.800003,1857400.0
2015-07-15,88.800003,89.0,88.099998,88.279999,88.279999,1373400.0
2015-07-16,86.949997,87.230003,84.370003,85.349998,85.349998,6208300.0
2015-07-17,85.519997,87.650002,85.41999799999999,87.220001,87.220001,2706600.0
2015-07-20,87.900002,89.470001,87.660004,88.949997,88.949997,2695900.0
2015-07-21,88.66999799999999,89.099998,87.599998,88.339996,88.339996,1973000.0
2015-07-22,88.0,89.959999,88.0,89.370003,89.370003,3043300.0
2015-07-23,93.5,97.690002,93.349998,95.93,95.93,10030500.0
2015-07-24,96.709999,97.190002,94.75,96.050003,96.050003,3985200.0
2015-07-27,95.230003,96.489998,94.190002,96.43,96.43,2993000.0
2015-07-28,97.0,97.93,96.010002,97.849998,97.849998,2731800.0
2015-07-29,97.849998,98.910004,97.599998,98.82,98.82,2164700.0
2015-07-30,98.660004,99.43,98.150002,99.279999,99.279999,1759900.0
2015-07-31,99.889999,100.019997,98.699997,99.33000200000001,99.33000200000001,2358700.0
2015-08-03,99.660004,99.660004,97.089996,98.260002,98.260002,2536200.0
2015-08-04,98.540001,99.589996,97.760002,99.349998,99.349998,1471900.0
2015-08-05,99.839996,101.82,99.510002,101.040001,101.040001,2062800.0
2015-08-06,101.139999,101.779999,97.58000200000001,98.190002,98.190002,2422700.0
2015-08-07,98.150002,98.199997,96.32,97.93,97.93,2471800.0
2015-08-10,98.93,100.190002,98.559998,98.75,98.75,2074700.0
2015-08-11,98.389999,99.360001,97.690002,99.089996,99.089996,1545300.0
2015-08-12,98.440002,98.459999,95.849998,97.769997,97.769997,2535500.0
2015-08-13,98.129997,100.510002,97.650002,99.400002,99.400002,1871300.0
2015-08-14,99.610001,100.639999,98.93,100.25,100.25,1378000.0
2015-08-17,100.230003,100.75,98.699997,100.739998,100.739998,1676100.0
2015-08-18,100.610001,101.68,100.0,100.360001,100.360001,1277800.0
2015-08-19,99.870003,100.599998,99.099998,100.059998,100.059998,1195800.0
2015-08-20,99.010002,99.25,96.550003,96.650002,96.650002,2127100.0
2015-08-21,95.07,95.400002,89.260002,90.029999,90.029999,6884000.0
2015-08-24,81.120003,88.690002,80.120003,85.440002,85.440002,9271200.0
2015-08-25,89.050003,91.370003,87.0,87.019997,87.019997,5278800.0
2015-08-26,89.690002,90.91999799999999,87.029999,90.760002,90.760002,3713700.0
2015-08-27,93.550003,95.779999,92.599998,95.690002,95.690002,4650500.0
2015-08-28,95.120003,97.410004,94.610001,96.410004,96.410004,2982500.0
2015-08-31,96.029999,97.489998,95.190002,95.529999,95.529999,2110100.0
2015-09-01,93.360001,95.029999,92.519997,93.160004,93.160004,2812500.0
2015-09-02,94.529999,95.639999,93.199997,95.639999,95.639999,2898900.0
2015-09-03,96.089996,97.019997,95.07,95.629997,95.629997,2619300.0
2015-09-04,94.519997,95.66999799999999,93.910004,95.0,95.0,1687900.0
2015-09-08,97.0,97.660004,95.529999,97.07,97.07,1969700.0
2015-09-09,97.900002,97.980003,94.860001,95.110001,95.110001,2072600.0
